,sensitivity,specificity,pod,timeliness,thr
1,0.7562189054726368,0.9803771661569827,1.0,0.11274928774928775,0.7
2,0.5209302325581395,0.9822028624766646,0.68,0.49261538461538457,0.9
3,0.7810810810810811,0.9812182741116752,1.0,0.13853276353276356,0.7
4,0.8664122137404581,0.9804707060590886,1.0,0.11261538461538462,0.95
5,0.6074074074074074,0.9787125557680051,1.0,0.16948228948228944,0.75
6,0.48878923766816146,0.9784477388812757,0.92,0.32034036070568567,0.95
7,0.8284960422163589,0.9696353703468429,1.0,0.13388800268800266,0.95
8,0.6428571428571429,0.9843161856963614,0.92,0.20906187036217994,0.95
9,0.8056537102473498,0.9806702648424752,0.96,0.139611595834506,0.95
10,0.6768802228412256,0.9785831960461285,1.0,0.2019220779220779,0.7
11,0.5294117647058824,0.9723428004464839,0.84,0.40644444444444444,0.95
12,0.6724137931034483,0.9805900621118012,1.0,0.07324423324423322,0.85
13,0.8130841121495327,0.9845308105343902,1.0,0.07430199430199429,0.95
14,0.9016949152542373,0.9796354494028913,1.0,0.11489723239723239,0.95
15,0.6804733727810651,0.9852123356926188,0.88,0.2669281644281644,0.85
16,0.7475247524752475,0.9891664542442009,0.88,0.1961111111111111,0.49999999999999994
