,Sensitivity_All,Specificity_All,POD_All,Timeliness_All,Threshold_All,Sensitivity_NonBH,Specificity_NonBH,POD_NonBH,Timeliness_NonBH,Threshold_NonBH
Signal_1,0.7114427860696517,0.9700560652395515,1.0,0.12767806267806267,0.1,0.7114427860696517,0.9700560652395515,1.0,0.12767806267806267,0.1
Signal_2,0.48372093023255813,0.9769757311761046,0.52,0.5610769230769231,0.1,0.48372093023255813,0.9769757311761046,0.52,0.5610769230769231,0.1
Signal_3,0.7810810810810811,0.9521573604060913,1.0,0.14353276353276356,0.05,0.7810810810810811,0.9521573604060913,1.0,0.14353276353276356,0.05
Signal_4,0.8473282442748091,0.9678267401101652,0.96,0.16676923076923075,0.05,0.8473282442748091,0.9678267401101652,0.96,0.16676923076923075,0.05
Signal_5,0.7283950617283951,0.8963671128107075,1.0,0.13144261144261146,0.05,0.7283950617283951,0.8963671128107075,1.0,0.13144261144261146,0.05
Signal_6,0.4439461883408072,0.9444375233586645,0.56,0.5153312693498452,0.05,0.4439461883408072,0.9444375233586645,0.56,0.5153312693498452,0.05
Signal_7,0.8179419525065963,0.9547706771693558,1.0,0.13718038598038598,0.15,0.8179419525065963,0.9547706771693558,1.0,0.13718038598038598,0.15
Signal_8,0.02142857142857143,1.0,0.16,0.8636532507739938,0.05,0.02142857142857143,1.0,0.16,0.8636532507739938,0.05
Signal_9,0.6819787985865724,0.8866574620308774,1.0,0.2235406698564593,0.05,0.6819787985865724,0.8866574620308774,1.0,0.2235406698564593,0.05
Signal_10,0.7047353760445683,0.9541249524775061,1.0,0.20264935064935063,0.1,0.7047353760445683,0.9541249524775061,1.0,0.20264935064935063,0.1
Signal_11,0.8181818181818182,0.9332754557856877,1.0,0.15600000000000003,0.05,0.8181818181818182,0.9332754557856877,1.0,0.15600000000000003,0.05
Signal_12,0.8218390804597702,0.9037267080745341,1.0,0.04090585090585089,0.05,0.8218390804597702,0.9037267080745341,1.0,0.04090585090585089,0.05
Signal_13,0.7967289719626168,0.9506520071592943,1.0,0.07259259259259258,0.2,0.7967289719626168,0.9506520071592943,1.0,0.07259259259259258,0.2
Signal_14,0.9016949152542373,0.9797611565053426,1.0,0.11489723239723239,0.15,0.9016949152542373,0.9797611565053426,1.0,0.11489723239723239,0.15
Signal_15,0.7307692307692307,0.967391304347826,0.96,0.2182834757834758,0.1,0.7307692307692307,0.967391304347826,0.96,0.2182834757834758,0.1
Signal_16,0.7673267326732673,0.9833035941881213,1.0,0.14277777777777778,0.05,0.7673267326732673,0.9833035941881213,1.0,0.14277777777777778,0.05
